label,type,subtype,item,condition,group,sentence,alternative
rc_d_28,rc,RCs_ET,28,d,list2,大学教授 想到 那个 前天 小说家 联络了 两次 的 歌剧家 所以 打了电话 给他。,X-X-X 舞蹈 性质 围剿 椭圆形 千百万 凌晨 种 林巧稚 条件 势力范围 凶猛。
rc_a_29,rc,RCs_ET,29,a,list0,这个 刚才 接了 姑姑 一次 的 叔叔 送了 伯伯 并且 一起 坐车去。,X-X-X 看出 蜡烛 烙印 狡猾 种 毫无 荒凉 衡量 矛盾 性质 伽利略。
rc_b_29,rc,RCs_ET,29,b,list1,这个 刚才 姑姑 接了 一次 的 叔叔 送了 伯伯 并且 一起 坐车去。,X-X-X 看出 烙印 蜡烛 狡猾 位 毫无 荒凉 衡量 矛盾 性质 伽利略。
rc_c_29,rc,RCs_ET,29,c,list2,伯伯 送了 这个 刚才 接了 姑姑 一次 的 叔叔 并且 一起 坐车去。,X-X-X 椭圆 以北 溶液 症状 凭证 规模 种 描述 质量 性质 段祺瑞。
rc_d_29,rc,RCs_ET,29,d,list3,伯伯 送了 这个 刚才 姑姑 接了 一次 的 叔叔 并且 一起 坐车去。,X-X-X 椭圆 研究 社员 凭证 症状 规模 种 描述 质量 性质 段祺瑞。
rc_a_30,rc,RCs_ET,30,a,list1,这个 今晚 服务了 空乘 两次 的 男生 遇见 一位女孩 然后 要了 电话号码。,X-X-X 显出 碳酸钠 祈祷 艰巨 种 汹涌 菊花 二氧化硫 规律 癌症 二氧化硫。
rc_b_30,rc,RCs_ET,30,b,list2,这个 今晚 空乘 服务了 两次 的 男生 遇见 一位女孩 然后 要了 电话号码。,X-X-X 显出 师付 郭沫若 艰巨 党 汹涌 菊花 二氧化硫 规律 癌症 二氧化硫。
rc_c_30,rc,RCs_ET,30,c,list3,一位女孩 遇见 这个 今晚 服务了 空乘 两次 的 男生 然后 要了 电话号码。,X-X-X 菊花 发展 亏损 甲状腺 争夺 原谅 种 获奖 规律 旗袍 艰苦奋斗。
rc_d_30,rc,RCs_ET,30,d,list0,一位女孩 遇见 这个 今晚 空乘 服务了 两次 的 男生 然后 要了 电话号码。,X-X-X 菊花 发展 亏损 抗病 甲状腺 原谅 种 获奖 规律 旗袍 艰苦奋斗。
rc_a_31,rc,RCs_ET,31,a,list2,那个 刚刚 邀请了 女同学 一次 的 学生 拒绝了 好朋友 并且 离开了 教室。,X-X-X 趋势 湖南省 催化剂 遗嘱 种 根据 碳酸钠 啄木鸟 阶段 单位制 疲劳。
rc_b_31,rc,RCs_ET,31,b,list3,那个 刚刚 女同学 邀请了 一次 的 学生 拒绝了 好朋友 并且 离开了 教室。,X-X-X 相等 催化剂 湖南省 遗嘱 党 根据 碳酸钠 啄木鸟 阶段 史岱年 疲劳。
rc_c_31,rc,RCs_ET,31,c,list0,好朋友 拒绝了 那个 刚刚 邀请了 女同学 一次 的 学生 并且 离开了 教室。,X-X-X 卵细胞 矛盾 趋势 碳酸钠 慢吞吞 瘫痪 种 怎么 矛盾 硝酸钾 疲劳。
rc_d_31,rc,RCs_ET,31,d,list1,好朋友 拒绝了 那个 刚刚 女同学 邀请了 一次 的 学生 并且 离开了 教室。,X-X-X 卵细胞 矛盾 趋势 单位制 碳酸钠 瘫痪 种 怎么 矛盾 硝酸钾 疲劳。
rc_a_32,rc,RCs_ET,32,a,list3,那位 昨天 拜访了 亲戚 整个下午 的 生意人 撞到 青梅竹马 并且 感到讶异。,X-X-X 反动 吴佩孚 腐朽 血液循环 种 李鸿章 颌骨 宗教改革 改革 宏观经济。
rc_b_32,rc,RCs_ET,32,b,list0,那位 昨天 亲戚 拜访了 整个下午 的 生意人 撞到 青梅竹马 并且 感到讶异。,X-X-X 描写 腐朽 吴佩孚 血液循环 种 脂肪酸。 颌骨 宗教改革 改革 宏观经济。
rc_c_32,rc,RCs_ET,32,c,list1,青梅竹马 撞到 那位 昨天 拜访了 亲戚 整个下午 的 生意人 并且 感到讶异。,X-X-X 泥坑 圈儿 消耗 段祺瑞 腐朽 技术革命 种 索泓一 改革 价值规律。
rc_d_32,rc,RCs_ET,32,d,list2,青梅竹马 撞到 那位 昨天 亲戚 拜访了 整个下午 的 生意人 并且 感到讶异。,X-X-X 泥坑 纷纷 消耗 腐朽 段祺瑞 技术革命 种 索泓一 改革 价值规律。
fill_j_301,fill,Adverb_position,301,j,list0,小孩 解释说 上午 猫咪 抓到了 一只 稀有的 小鸟 所以 很难过。,X-X-X 肖武斌 锻炼 以北 史文远 沉浸 碳酸钙 尴尬 研究 史岱年。
fill_j_301,fill,Adverb_position,301,j,list2,小孩 解释说 上午 猫咪 抓到了 一只 稀有的 小鸟 所以 很难过。,X-X-X 肖武斌 锻炼 以北 史文远 沉浸 碳酸钙 尴尬 研究 史岱年。
fill_k_301,fill,Adverb_position,301,k,list1,小孩 解释说 猫咪 上午 抓到了 一只 稀有的 小鸟 所以 很难过。,X-X-X 销售量 侵占 锻炼 史岱年 逻辑 党组织 尴尬 研究 党组织。
fill_k_301,fill,Adverb_position,301,k,list3,小孩 解释说 猫咪 上午 抓到了 一只 稀有的 小鸟 所以 很难过。,X-X-X 销售量 侵占 锻炼 史岱年 逻辑 党组织 尴尬 研究 党组织。
fill_j_302,fill,Adverb_position,302,j,list1,女孩 表示 今早 男友 购买了 一只 昂贵的 戒指 所以 非常惊讶。,X-X-X 政府 摹仿 缺乏 乒乓球 蝌蚪 譬如说 高耸 研究 环境污染。
fill_j_302,fill,Adverb_position,302,j,list3,女孩 表示 今早 男友 购买了 一只 昂贵的 戒指 所以 非常惊讶。,X-X-X 政府 摹仿 缺乏 乒乓球 蝌蚪 譬如说 高耸 研究 环境污染。
fill_k_302,fill,Adverb_position,302,k,list0,女孩 表示 男友 今早 购买了 一只 昂贵的 戒指 所以 非常惊讶。,X-X-X 政府 融化 圈儿 卵细胞 猖狂 脂肪酸 高耸 研究 国民政府。
fill_k_302,fill,Adverb_position,302,k,list2,女孩 表示 男友 今早 购买了 一只 昂贵的 戒指 所以 非常惊讶。,X-X-X 政府 融化 圈儿 卵细胞 猖狂 脂肪酸 高耸 研究 国民政府。
fill_j_303,fill,Adverb_position,303,j,list0,男孩 耳闻 刚刚 邻居 八卦了 那辆 偷来的 轿车 所以 很好奇。,X-X-X 敏锐 逻辑 寻求 鄂伦春 诚恳 病虫害 严谨 研究 脂肪酸。
fill_j_303,fill,Adverb_position,303,j,list2,男孩 耳闻 刚刚 邻居 八卦了 那辆 偷来的 轿车 所以 很好奇。,X-X-X 敏锐 逻辑 寻求 鄂伦春 诚恳 病虫害 严谨 研究 脂肪酸。
fill_k_303,fill,Adverb_position,303,k,list1,男孩 耳闻 邻居 刚刚 八卦了 那辆 偷来的 轿车 所以 很好奇。,X-X-X 按钮 奠定 趋势 伽利略 肺炎 视网膜 严谨 必须 史岱年。
fill_k_303,fill,Adverb_position,303,k,list3,男孩 耳闻 邻居 刚刚 八卦了 那辆 偷来的 轿车 所以 很好奇。,X-X-X 按钮 奠定 趋势 伽利略 肺炎 视网膜 严谨 必须 史岱年。
fill_j_304,fill,Adverb_position,304,j,list1,娃娃 知道 今天 妈妈 买来了 一个 好吃的 蛋糕 所以 很兴奋。,X-X-X 条件 解决 迅速 氯化钠 研究 于右任 咆哮 研究 柬埔寨。
fill_j_304,fill,Adverb_position,304,j,list3,娃娃 知道 今天 妈妈 买来了 一个 好吃的 蛋糕 所以 很兴奋。,X-X-X 条件 解决 迅速 氯化钠 研究 于右任 咆哮 研究 柬埔寨。
fill_k_304,fill,Adverb_position,304,k,list0,娃娃 知道 妈妈 今天 买来了 一个 好吃的 蛋糕 所以 很兴奋。,X-X-X 圈儿 逐渐 解决 氯酸钾 似地 辩证法 暗暗 研究 林则徐。
fill_k_304,fill,Adverb_position,304,k,list2,娃娃 知道 妈妈 今天 买来了 一个 好吃的 蛋糕 所以 很兴奋。,X-X-X 圈儿 逐渐 解决 氯酸钾 似地 辩证法 暗暗 研究 林则徐。
fill_j_305,fill,Adverb_position,305,j,list0,家人 以为 下午 祖父 发生了 一场 严重的 车祸 所以 很着急。,X-X-X 措施 渐渐 振奋 奴隶制 眺望 达斡尔 熟悉 科学 鄂伦春。
fill_j_305,fill,Adverb_position,305,j,list2,家人 以为 下午 祖父 发生了 一场 严重的 车祸 所以 很着急。,X-X-X 措施 渐渐 振奋 奴隶制 眺望 达斡尔 熟悉 科学 鄂伦春。
fill_k_305,fill,Adverb_position,305,k,list1,家人 以为 祖父 下午 发生了 一场 严重的 车祸 所以 很着急。,X-X-X 措施 振奋 欣赏 氨基酸 眺望 氧化铜 凑近 科学 椭圆形。
fill_k_305,fill,Adverb_position,305,k,list3,家人 以为 祖父 下午 发生了 一场 严重的 车祸 所以 很着急。,X-X-X 措施 振奋 欣赏 氨基酸 眺望 氧化铜 凑近 科学 椭圆形。
fill_j_306,fill,Adverb_position,306,j,list1,妻子 认为 昨晚 丈夫 陪伴了 一位 年轻的 情妇 所以 提出诉讼。,X-X-X 技术 干吗 巩固 硝酸钾 蚕丝 抵抗力 嘻嘻 研究 经济杠杆。
fill_j_306,fill,Adverb_position,306,j,list3,妻子 认为 昨晚 丈夫 陪伴了 一位 年轻的 情妇 所以 提出诉讼。,X-X-X 技术 干吗 巩固 硝酸钾 蚕丝 抵抗力 嘻嘻 研究 经济杠杆。
fill_k_306,fill,Adverb_position,306,k,list0,妻子 认为 丈夫 昨晚 陪伴了 一位 年轻的 情妇 所以 提出诉讼。,X-X-X 技术 贯彻 干吗 洋铁桶 祈祷 氧化物 除掉 研究 技术革命。
fill_k_306,fill,Adverb_position,306,k,list2,妻子 认为 丈夫 昨晚 陪伴了 一位 年轻的 情妇 所以 提出诉讼。,X-X-X 技术 贯彻 干吗 洋铁桶 祈祷 氧化物 除掉 研究 技术革命。
fill_j_307,fill,Adverb_position,307,j,list0,政府 预料 每年 吸烟 危害了 众多 健康的 人口 并且 提出警讯。,X-X-X 棺材 贡献 庸俗 硝酸钾 蔬菜 金丝猴 清楚 矛盾 思想意识。
fill_j_307,fill,Adverb_position,307,j,list2,政府 预料 每年 吸烟 危害了 众多 健康的 人口 并且 提出警讯。,X-X-X 棺材 贡献 庸俗 硝酸钾 蔬菜 金丝猴 清楚 矛盾 思想意识。
fill_k_307,fill,Adverb_position,307,k,list1,政府 预料 吸烟 每年 危害了 众多 健康的 人口 并且 提出警讯。,X-X-X 稻谷 庸俗 贡献 硫酸铜 蔬菜 冯玉祥 介绍 看见 风俗习惯。
fill_k_307,fill,Adverb_position,307,k,list3,政府 预料 吸烟 每年 危害了 众多 健康的 人口 并且 提出警讯。,X-X-X 稻谷 庸俗 贡献 硫酸铜 蔬菜 冯玉祥 介绍 看见 风俗习惯。
fill_j_308,fill,Adverb_position,308,j,list1,警察 暗示 昨天 嫌犯 闯入了 几座 豪华的 赌场 并且 拍了照。,X-X-X 耶稣 懂得 瘫痪 硝酸钾 雌蕊 病虫害 嚷嚷 矛盾 黎小玲。
fill_j_308,fill,Adverb_position,308,j,list3,警察 暗示 昨天 嫌犯 闯入了 几座 豪华的 赌场 并且 拍了照。,X-X-X 耶稣 懂得 瘫痪 硝酸钾 雌蕊 病虫害 嚷嚷 矛盾 黎小玲。
fill_k_308,fill,Adverb_position,308,k,list0,警察 暗示 嫌犯 昨天 闯入了 几座 豪华的 赌场 并且 拍了照。,X-X-X 耶稣 咆哮 消耗 催化剂 饥饿 解剖学 咳嗽 矛盾 李鸿章。
fill_k_308,fill,Adverb_position,308,k,list2,警察 暗示 嫌犯 昨天 闯入了 几座 豪华的 赌场 并且 拍了照。,X-X-X 耶稣 咆哮 消耗 催化剂 饥饿 解剖学 咳嗽 矛盾 李鸿章。
fill_j_309,fill,Adverb_position,309,j,list0,校长 喜闻 去年 学生 获得了 几项 国际的 奖项 所以 颁发了 奖学金。,X-X-X 肺炎 限制 怎么 硝酸钾 鞠躬 犯错误 烦躁 思想 黑猩猩 汪精卫。
fill_j_309,fill,Adverb_position,309,j,list2,校长 喜闻 去年 学生 获得了 几项 国际的 奖项 所以 颁发了 奖学金。,X-X-X 肺炎 限制 怎么 硝酸钾 鞠躬 犯错误 烦躁 思想 黑猩猩 汪精卫。
fill_k_309,fill,Adverb_position,309,k,list1,校长 喜闻 学生 去年 获得了 几项 国际的 奖项 所以 颁发了 奖学金。,X-X-X 山脉 怎么 限制 荧光屏 咬住 习惯于 潮湿 思想 病虫害 碳酸钠。
fill_k_309,fill,Adverb_position,309,k,list3,校长 喜闻 学生 去年 获得了 几项 国际的 奖项 所以 颁发了 奖学金。,X-X-X 山脉 怎么 限制 荧光屏 咬住 习惯于 潮湿 思想 病虫害 碳酸钠。
fill_j_310,fill,Adverb_position,310,j,list1,海关 判断 傍晚 游客 携带了 一支 仿冒 的手表 所以 决定押收。,X-X-X 色彩 扇子 痉挛 老爷爷 膳食 扫描 刹那间 科学 风俗习惯。
fill_j_310,fill,Adverb_position,310,j,list3,海关 判断 傍晚 游客 携带了 一支 仿冒 的手表 所以 决定押收。,X-X-X 色彩 扇子 痉挛 老爷爷 膳食 扫描 刹那间 科学 风俗习惯。
fill_k_310,fill,Adverb_position,310,k,list0,海关 判断 游客 傍晚 携带了 一支 仿冒的 手表 所以 决定押收。,X-X-X 色彩 痉挛 讨厌 硝酸钾 以北 乡亲们 厌恶 科学 基本矛盾。
fill_k_310,fill,Adverb_position,310,k,list2,海关 判断 游客 傍晚 携带了 一支 仿冒的 手表 所以 决定押收。,X-X-X 色彩 痉挛 讨厌 硝酸钾 以北 乡亲们 厌恶 科学 基本矛盾。
fill_j_311,fill,Adverb_position,311,j,list0,民众 爆料 上周 官员 接受了 一座 国外的 豪宅 并且 投诉为 贿赂。,X-X-X 颌骨 唠叨 覆盖 氧化铜 蝗虫 怎么说 鲁迅 矛盾 脂肪酸 插秧。
fill_j_311,fill,Adverb_position,311,j,list2,民众 爆料 上周 官员 接受了 一座 国外的 豪宅 并且 投诉为 贿赂。,X-X-X 颌骨 唠叨 覆盖 氧化铜 蝗虫 怎么说 鲁迅 矛盾 脂肪酸 插秧。
fill_k_311,fill,Adverb_position,311,k,list1,民众 爆料 官员 上周 接受了 一座 国外的 豪宅 并且 投诉为 贿赂。,X-X-X 肝炎 覆盖 咕咕 氯酸钾 记忆 应该说 险恶 矛盾 障碍物 颌骨。
fill_k_311,fill,Adverb_position,311,k,list3,民众 爆料 官员 上周 接受了 一座 国外的 豪宅 并且 投诉为 贿赂。,X-X-X 肝炎 覆盖 咕咕 氯酸钾 记忆 应该说 险恶 矛盾 障碍物 颌骨。
fill_j_312,fill,Adverb_position,312,j,list1,公司 质疑 中午 员工 挪用了 一笔 巨大的 款项 所以 做了确认。,X-X-X 胸膛 圈儿 叮嘱 碳酸钠 巡捕 邓颖超 忍耐 思想 爱因斯坦。
fill_j_312,fill,Adverb_position,312,j,list3,公司 质疑 中午 员工 挪用了 一笔 巨大的 款项 所以 做了确认。,X-X-X 胸膛 圈儿 叮嘱 碳酸钠 巡捕 邓颖超 忍耐 思想 爱因斯坦。
fill_k_312,fill,Adverb_position,312,k,list0,公司 质疑 员工 中午 挪用了 一笔 巨大的 款项 所以 做了确认。,X-X-X 竹竿 欺侮 缩短 芭蕾舞 睁大 林巧稚 掀开 思想 辛亥革命。
fill_k_312,fill,Adverb_position,312,k,list2,公司 质疑 员工 中午 挪用了 一笔 巨大的 款项 所以 做了确认。,X-X-X 竹竿 欺侮 缩短 芭蕾舞 睁大 林巧稚 掀开 思想 辛亥革命。
fill_j_313,fill,Adverb_position,313,j,list0,家长 承认 稍早 孩子 欺负了 一位 瘦小的 同学 并且 道了歉。,X-X-X 机械 杜鹃 怎么 葡萄糖 酸碱 水溶液 宣传 矛盾 毛泽东。
fill_j_313,fill,Adverb_position,313,j,list2,家长 承认 稍早 孩子 欺负了 一位 瘦小的 同学 并且 道了歉。,X-X-X 机械 杜鹃 怎么 葡萄糖 酸碱 水溶液 宣传 矛盾 毛泽东。
fill_k_313,fill,Adverb_position,313,k,list1,家长 承认 孩子 稍早 欺负了 一位 瘦小的 同学 并且 道了歉。,X-X-X 粮食 怎么 淤泥 葡萄糖 潮汐 刹那间 深入 矛盾 氨基酸。
fill_k_313,fill,Adverb_position,313,k,list3,家长 承认 孩子 稍早 欺负了 一位 瘦小的 同学 并且 道了歉。,X-X-X 粮食 怎么 淤泥 葡萄糖 潮汐 刹那间 深入 矛盾 氨基酸。
fill_j_314,fill,Adverb_position,314,j,list1,劳工 怀疑 早上 工会 通过 那项 不公的 条例 并且 决定罢工。,X-X-X 婚姻 衡量 照射 技术 辫子 啄木鸟 浑身 矛盾 费尔巴哈。
fill_j_314,fill,Adverb_position,314,j,list3,劳工 怀疑 早上 工会 通过 那项 不公的 条例 并且 决定罢工。,X-X-X 婚姻 衡量 照射 技术 辫子 啄木鸟 浑身 矛盾 费尔巴哈。
fill_k_314,fill,Adverb_position,314,k,list0,劳工 怀疑 工会 早上 通过 那项 不公的 条例 并且 决定罢工。,X-X-X 婚姻 照射 越南 技术 鲫鱼 氢原子 浑身 矛盾 艰苦奋斗。
fill_k_314,fill,Adverb_position,314,k,list2,劳工 怀疑 工会 早上 通过 那项 不公的 条例 并且 决定罢工。,X-X-X 婚姻 照射 越南 技术 鲫鱼 氢原子 浑身 矛盾 艰苦奋斗。
fill_j_315,fill,Adverb_position,315,j,list0,导演 期待 今年 作家 完成 一本 科幻的 小说 并且 拍成电影。,X-X-X 嘿嘿 破坏 仿佛 鲫鱼 拦住 林巧稚 适用 所谓 艰苦奋斗。
fill_j_315,fill,Adverb_position,315,j,list2,导演 期待 今年 作家 完成 一本 科幻的 小说 并且 拍成电影。,X-X-X 嘿嘿 破坏 仿佛 鲫鱼 拦住 林巧稚 适用 所谓 艰苦奋斗。
fill_k_315,fill,Adverb_position,315,k,list1,导演 期待 作家 今年 完成 一本 科幻的 小说 并且 拍成电影。,X-X-X 嘿嘿 恢复 破坏 鲫鱼 邯郸 水溶液 给予 所谓 氢氧化钠。
fill_k_315,fill,Adverb_position,315,k,list3,导演 期待 作家 今年 完成 一本 科幻的 小说 并且 拍成电影。,X-X-X 嘿嘿 恢复 破坏 鲫鱼 邯郸 水溶液 给予 所谓 氢氧化钠。
fill_j_316,fill,Adverb_position,316,j,list1,路人 目击 清晨 保时捷 撞到了 一辆 轻型的 卡车 所以 做了证。,X-X-X 优劣 忽略 愈来愈 卵细胞 蚕丝 笑眯眯 潇洒 研究 邓颖超。
fill_j_316,fill,Adverb_position,316,j,list3,路人 目击 清晨 保时捷 撞到了 一辆 轻型的 卡车 所以 做了证。,X-X-X 优劣 忽略 愈来愈 卵细胞 蚕丝 笑眯眯 潇洒 研究 邓颖超。
fill_k_316,fill,Adverb_position,316,k,list0,路人 目击 保时捷 清晨 撞到了 一辆 轻型的 卡车 所以 做了证。,X-X-X 圈儿 林则徐 使劲 氯化钠 侵蚀 叶倩倩 潇洒 研究 慢吞吞。
fill_k_316,fill,Adverb_position,316,k,list2,路人 目击 保时捷 清晨 撞到了 一辆 轻型的 卡车 所以 做了证。,X-X-X 圈儿 林则徐 使劲 氯化钠 侵蚀 叶倩倩 潇洒 研究 慢吞吞。
